Audio File,Transcription (Uppercase),Transcription (List of Words)
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_0_English.wav," OKAY, YOU CAN BEGIN.","['OKAY,', 'YOU', 'CAN', 'BEGIN.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_1_English.wav," OKAY, CAN YOU SEE THIS?","['OKAY,', 'CAN', 'YOU', 'SEE', 'THIS?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_2_English.wav, LOOK AT THIS.,"['LOOK', 'AT', 'THIS.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_3_English.wav, THIS IS A BOOK.,"['THIS', 'IS', 'A', 'BOOK.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_4_English.wav, THERE IS AN ALARM BUTTON IN THE MIDDLE OF THE PAGE.,"['THERE', 'IS', 'AN', 'ALARM', 'BUTTON', 'IN', 'THE', 'MIDDLE', 'OF', 'THE', 'PAGE.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_5_English.wav, ELE FEZ.,"['ELE', 'FEZ.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_6_English.wav, WHAT A SCARY SONG!,"['WHAT', 'A', 'SCARY', 'SONG!']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_7_English.wav, LOOK AT HIS HAND.,"['LOOK', 'AT', 'HIS', 'HAND.']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_8_English.wav, WHAT IS SHE REACHING OUT FOR?,"['WHAT', 'IS', 'SHE', 'REACHING', 'OUT', 'FOR?']"
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_9_English.wav, IS IT RAIN?,"['IS', 'IT', 'RAIN?']"
