file_name,Transcription Zipformer,Transcription whisper
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_0_English.wav,OKAY YOU CAN BEGIN,HERE YOU CAN BEGIN
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_1_English.wav,OKAY CAN YOU SEE THIS,OK CAN YOU SEE THIS
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_2_English.wav,LOOK AT THIS,有 给 的 意 义
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_3_English.wav,THIS IS A BOOK,THIS IS A BOOK
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_4_English.wav,THERE IS AN ALARM BUTTON IN THE MIDDLE OF THE PAGE,THERE IS AN ORANG BEGUN IN THE MIDDLE OF THE PAGE
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_5_English.wav,ELE FEZ,ANYTHING
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_6_English.wav,WHAT A SCARY SONG,WHAT A SCARPLY STAR
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_7_English.wav,LOOK AT HIS HAND,LOOK HIS HAND
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_8_English.wav,WHAT IS SHE REACHING OUT FOR,WHAT IS HE LOOKING AT FOR
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_9_English.wav,IS IT RAIN,IS HE RAIN
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_10_English.wav,NOT SURE WHAT IS THERE HES HOLDING ON TO THE VINE FOR HIS BALANCE,NOT EVERYBODY SAY IS HOLDING ON TO THE VINE FOR HIS VIOLENCE
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_11_English.wav,ME,嗯
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_12_English.wav,SHALL WE GO TO THE NEXT SPEECH,SHALL WE DO NEXT SPEECH
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_13_English.wav,AND MIX,WHO MAKES
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_14_English.wav,OH ITS THE SAME PICTURE OF THIS LITTLE ORANGUTAN,MORE IS THE SAME PICTURE OF THIS VICAR OVER WITH THEM
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_15_English.wav,LIHATLAH DIA BERDIRI DI TENGAHTENGAH VINA MENANGKAP DENGAN KAKI DAN SALAH SATU TANGAN,HES STANDING AT THE MIDDLE OF THE VINE HOLDING WITH HIS FEET AND ONE OF HIS PEN
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_16_English.wav,AND LOOK THE OTHER HAND IS REACHING OUT FOR WHAT,HE LOOK THE OTHER HAND IS BEATING OUT FOR ONE
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_17_English.wav,IS THAT A RAINDROP OR SEE THERES SOMETHING BOUNCING OFF HIS HAND,THE RAINDROP OR SEE THE SOMETHING BONCING OF THE SAND
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_18_English.wav,PEACE,THIS
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_19_English.wav,OH NO ITS RAINING LOOK AT THIS WEATHER,OH OH NOITS RAINING LOOK AT THIS OLD DESK
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_20_English.wav,HES WORKING ON THE FLOOR,IS A WORKING ON THE FLOOR
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_21_English.wav,THE FLOOR IS WET,THE DOOR IS WET
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_22_English.wav,AND LOOK AT HIS,AND LOOK AT HIS
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_24_English.wav,PHO,FULL
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_25_English.wav,THERES RAIN AND WATER ON HIS FUR AND HES REACHING OUT FOR THE LITTLE LEAF,THERES A RAIN AND WATER ON HIS PHONE AND HE SPEAKING OUT FOR THE LITTLE LI
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_26_English.wav,WHOA LOOK AT THIS PICTURE ON THE RIGHT,哦 LOOK AT THIS PICTURE ON THE RIGHT
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_27_English.wav,WHAT IS HE DOING WITH THE LEAF,WHAT IS HE DOING WITH THE LEAVES
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_28_English.wav,HES USING IT AS AN UMBRELLA,IS USING IT AS AN UMBRELLA
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_29_English.wav,TO SHIELD HIM FROM THE RAIN,THEY SHOOTING FROM THE RAIN
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_30_English.wav,OKAY NEXT,OKNEAKS
TTS_P91182TT_VCST_ECxxx_01_AO_48503281_v001_R004_CRR_MERLIon-CCS_segment_31_English.wav,WOW AND THEN,OH AND THEN
